Date,Open,High,Low,Close,Volume
2020-06-30,45.935,46.389,45.875,46.073,11184296
2020-07-02,46.824,48.286,46.824,48.207,32716203
2020-07-03,48.326,49.195,48.306,49.195,40370802
2020-07-06,49.392,52.178,49.392,52.139,104248895
2020-07-07,53.166,54.075,51.881,52.001,47544419
2020-07-08,52.85,53.502,52.218,53.107,31268511
2020-07-09,53.64,54.391,53.186,54.391,40773097
2020-07-10,54.273,54.273,52.988,53.363,22319199
2020-07-13,53.581,54.845,53.265,54.43,22135749
2020-07-14,54.075,54.47,52.968,53.581,20079257
2020-07-15,54.233,54.411,52.988,53.265,20335580
2020-07-16,53.344,53.68,50.499,50.618,53841779
2020-07-17,51.091,51.763,50.499,51.072,28145869
2020-07-20,51.171,52.673,51.013,52.435,24132392
2020-07-21,53.206,53.206,52.316,52.731,21033938
2020-07-22,52.494,54.154,51.981,51.981,22251255
2020-07-23,52.356,53.107,51.664,52.85,17076416
2020-07-24,52.356,52.613,50.183,50.874,36302356
2020-07-27,51.332,51.432,50.496,50.974,12012021
2020-07-28,51.312,51.71,50.914,51.213,11701194
2020-07-29,51.133,52.745,51.053,52.745,21417990
2020-07-30,52.725,52.984,52.029,52.069,12795647
2020-07-31,52.467,53.601,51.85,52.686,21558517
